model,folds,mean_subset_accuracy,mean_number_level_accuracy,mean_avg_hit,mean_precision_at_6,mean_recall_at_6,mean_brier_score,std_avg_hit
soft_voting_ensemble,20,0.0,0.7716296296296297,0.8616666666666667,0.1436111111111111,0.1436111111111111,0.1942193939523694,0.1419476058516576
random_baseline,20,0.0,0.7715555555555556,0.86,0.1433333333333333,0.1433333333333333,,0.1554469127710759
logistic_regression,20,0.0,0.7706666666666667,0.8400000000000001,0.14,0.14,0.3079351313451471,0.140425418801633
gap_heuristic,20,0.0,0.7692592592592593,0.8083333333333333,0.1347222222222222,0.1347222222222222,,0.1776635232268575
freq_heuristic,20,0.0,0.7678518518518518,0.7766666666666666,0.1294444444444444,0.1294444444444444,,0.1397993549667623
